,Title,Location,Date,Link,Kitty Description
14,Cat loving cat sitter available, (Kitsilano),Feb 27,https://vancouver.craigslist.org/van/pet/d/vancouver-cat-loving-cat-sitter/6828251509.html,"

QR Code Link to This Post


If you're heading out of vacation or even for just a few days for work and it is important to you that your cat is not alone all day with just a sitter coming in to feed and brush your feline for a short duration, than I'm your girl. I recently lost my amazing cat of 19 years old and not ready to get another cat just yet, so cat sitting for now will give me the feline love that I am missing.

I'm available to come and feed your kitty and spend some time with him/her playing, cleaning litter boxes, just hanging out. 

I'm very attuned to the needs of cats, so will be a loving caregiver and you can rest assured that your cat will be very well taken care of. I have also been a volunteer at Vokra, at the cat shelter and my role was cat care. 

Contact me for rates and details.    "
15,Two house cats needs new homes, (Richmond),Feb 27,https://vancouver.craigslist.org/rch/pet/d/richmond-two-house-cats-needs-new-homes/6829722782.html,"

QR Code Link to This Post


We are moving and cannot bring our cats with us. One is a tabi, the other a calico. Both are indoor cats and never roam outside. Looking for a caring owner who would take one or both forever. If you are interested, please email me and I will send photos.    "
16,Cat bed, (10),Feb 27,https://vancouver.craigslist.org/van/pet/d/vancouver-cat-bed/6829378120.html,"

QR Code Link to This Post


If you interested call meryam at  show contact info
 thank you    "
17,Missing Grey Male Tabby Cat," (Sentinel Hill Neighbourhood, West Vancouver)",Feb 25,https://vancouver.craigslist.org/nvn/pet/d/west-vancouver-missing-grey-male-tabby/6828368034.html,"

QR Code Link to This Post


Our beloved family cat has been missing since February 19th in the Sentinel Hill area of West Vancouver.  He is a grey neutered tabby cat with pink nose and an ear tattoo.  He is very friendly, but a little shy.  Please leave a message if you have seen him.    "
18,Cat sitter available, (downtown),Feb 25,https://vancouver.craigslist.org/van/pet/d/vancouver-cat-sitter-available/6806971382.html,"

QR Code Link to This Post


I am an experienced cat and dog sitter.  Pet hotels can be stressful so why not take that stress away and board your furry loved ones in my loving and caring home.

I love animals and have been pet sitting for over 4 years and have had many happy repeat guests.

I provide good rates and love what I do.    "
19,dog daycare and cat daycare, (Langley),Feb 25,https://vancouver.craigslist.org/rds/pet/d/langley-dog-daycare-and-cat-daycare/6828249757.html,"

QR Code Link to This Post


Do you work full time and your dog is left alone during the day? are you on holidays?I'm offering drop off and 
pick up services, in langley area, we go for walks at the dog park daily, usually at topham Park, off leash, lots of excersise, socializing with other dogs, love, attention, just pure joy for your fur baby. We have a fully fenced back yard with multiple fenced off areas for bigger and smaller breeds.
$20 per day. No aggressive dogs please, as there are children running around.    "
20,looking for a male kitten please, (Surrey),Feb 24,https://vancouver.craigslist.org/rds/pet/d/surrey-looking-for-male-kitten-please/6827494846.html,"

QR Code Link to This Post


hello looking for a male kitten so my other cat has a friend I'm a single person and provide alot of love and attention please email me if you have a boy available thank you    "
21,Cat food, (Langley),Feb 24,https://vancouver.craigslist.org/rds/pet/d/langley-cat-food/6827485193.html,"

QR Code Link to This Post


Selling a brand new bag of cat food. It has been opened and used a little, but my cats ended up not liking it (they’ve been spoiled with the good stuff). 

I bought it at Walmart for $14. I’m selling it for $8. I will take pictures of anything on the bag if wanted. 
Unfortunately I do not have the receipt, if that is a problem I understand.
"
22,"Lost cat near Templeton Park, BC"," (7WHQ+R8 Vancouver, British Columbia, Canada)",Feb 24,https://vancouver.craigslist.org/van/pet/d/vancouver-lost-cat-near-templeton-park/6827428253.html,"

QR Code Link to This Post


I've lost my precious cat, Māo, near Templeton Park in East Vancouver. He is 8½ years old. 
Here's the lost poster: https://imgur.com/a/qY7Aapv
Please let me know if you see him.

I last saw him at my bedroom window, Thursday night (21 February) around 11 PM.

Ear Tattoo: MKX76
Description 
Sex: male
Breed: Domestic Medium Hair
Age: 8 Years 9 Months    "
23,Cat scratching post recovering needed, (Vancouver),Feb 24,https://vancouver.craigslist.org/van/pet/d/vancouver-cat-scratching-post/6827410665.html,"

QR Code Link to This Post


I am putting this out into the community in the hopes that someone knows someone or is in the business of making/recovering carpeted cat posts.  If you know someone please contact me - thanks!
"
24,silver tabby barn kitten wanted, (Lower Mainland),Feb 24,https://vancouver.craigslist.org/rds/pet/d/surrey-silver-tabby-barn-kitten-wanted/6826879916.html,"

QR Code Link to This Post


looking for a silver tabby kitten.    "
25,Looking for volunteer cat groomer, (Metrotown),Feb 23,https://vancouver.craigslist.org/bnc/pet/d/burnaby-looking-for-volunteer-cat/6826698073.html,"

QR Code Link to This Post


Hi,

My cat desperately needs to be shaved, after many unsuccessful trips to the vet and about $2000 later it seems nothing has helped him with relief from itchiness and we're out of options. He's been dewormed, treated with flea treatment (Advantage as well as Revolution) even though no signs of fleas or dirt, blood work has come back good, thyroid good, appetite is good. Been given antibiotics and an anti itch meds. His diet has been changed to a very limited ingredient food. 

There has been improvement but remains another concern, constant itching.

He is crazy itchy. He has been to the vet over 10 times in the past few months. Normally his groomer comes in home to shave him and she currently does not have a car to get out here. So I'm wondering if there is someone who can volunteer to come help him get a shave as to see the condition of his skin.

The vet sedates animals and because he's older, wasn't comfortable with that. Also he's been shaved a lot through out his life while awake and it's worked out well. 


He doesn't have any matting at all but all this has made him very stressed out. Because of everything he has become more agitated.

If you're someone who loves animals and is good with cats and want to help, please message.    "
26,LOST CAT IMPERIAL ST, (BURNABY),Feb 22,https://vancouver.craigslist.org/bnc/pet/d/burnaby-lost-cat-imperial-st/6826084787.html,"

QR Code Link to This Post


Lost a fluffy white cat  male, with blue eyes
reward offered    "
27,Beautiful long haired grey cat, (Surrey 88th and 150),Feb 22,https://vancouver.craigslist.org/rds/pet/d/surrey-beautiful-long-haired-grey-cat/6825868018.html,"

QR Code Link to This Post


This kitty name is purrelly he is less than a year old.
He likes to run outside and play he is loyal and cute 
Looking for a good home 

* just cat *
$50    "
28,rehoming beautiful Loki (3.5 year old friendly cat), (Riley Park),Feb 22,https://vancouver.craigslist.org/van/pet/d/vancouver-rehoming-beautiful-loki-35/6825615510.html,"

QR Code Link to This Post


We are looking to rehome our beautiful grey, friendly and affectionate 3.5 year old indoor cat; Loki. 

As we are moving to Scotland and we know this would be a very difficult move for Loki (he does not travel particularly well). Therefore we would like to find a home for him here in the Vancouver area. 

He is 3.5 years old, very good natured and a very affectionate indoor cat. He has some energy but is not too vigorous or hyper and is a good companion. He would be accompanied by his cat tower, litter box, litter and food. Very small rehoming fee applies.

We hope to find Loki a loving and safe home and in return he will surely provide wonderful feline companionship.

We would love to chat by phone and meet potential new family for Loki first.

Please get in touch.    "
29,dog/cat carrier, (coquitlam centre),Feb 22,https://vancouver.craigslist.org/pml/pet/d/coquitlam-dog-cat-carrier/6804341393.html,"

QR Code Link to This Post


doggie/cat carrier (for small animals) $25    "
30,Looking for a Cat, (New Westminster),Feb 21,https://vancouver.craigslist.org/bnc/pet/d/new-westminster-looking-for-cat/6825164382.html,"

QR Code Link to This Post


I am currently looking for a cat, to give a good home to. I am a senior, with a bad heart, and my Doctor thinks a companion animal might be a good idea. It could be a senior cat, or young. I am willing to pay a small re-homing fee, but I could not afford adoption fees from the SPCA, or others.    "
31,Looking to adopt long haired kitten, (Vancouver),Feb 21,https://vancouver.craigslist.org/van/pet/d/vancouver-looking-to-adopt-long-haired/6825095083.html,"

QR Code Link to This Post


Hi I am looking for a long haired kitten to adopt. Quiet home, need a companion to spoil.    "
32,Free Kittens, (Poco),Feb 21,https://vancouver.craigslist.org/pml/pet/d/port-coquitlam-free-kittens/6824962754.html,"

QR Code Link to This Post


3 free kittens 1 female 2 males.
6 months old. 

Calico female
Calico Male
Tuxedo Male    "
33,Black and white cat found - N. Van, (Gostick Place),Feb 21,https://vancouver.craigslist.org/nvn/pet/d/north-vancouver-black-and-white-cat/6824780869.html,"

QR Code Link to This Post


Found this morning, a black and white cat, in a non-residential area parking lot (right underneath 2 roosting Bald Eagles). No collar or tattoo. Friendly and seems in good health. Never seen this cat before and I'm sure kitty is lost. If you think this may be your cat, please contact me with a detailed description. No, you will not get a picture without that detailed description; so scammers..... do not bother.    "
34,Free loving cat, (Surrey Central),Feb 20,https://vancouver.craigslist.org/rds/pet/d/surrey-free-loving-cat/6824450810.html,"

QR Code Link to This Post


I need to rehome our cat Moe due moving need to rehome by 21 of feb he is a friendly fixed male with all his shots great with kids around 10 years young black and white medium length hair    "
35,Two Adult Female Foster Cats Need Home,N/A,Feb 20,https://vancouver.craigslist.org/rds/pet/d/surrey-two-adult-female-foster-cats/6824107446.html,"

QR Code Link to This Post


*Located in Bellingham, WA but willing to drive up to 3 hours and able to cross the border*

Cleo and Nala are two 8-year old spayed females who were surrendered to me when their owner could no longer care for them. I took them in with the intent to finish vetting them and find them a true forever home. They've been with me since late January and will be available by the end of February. They both love to look out the window, so a home with space for them to do that would be great! 

Cleo is the one with more white on her face. She is a little shy but loves attention when she feels comfortable. She even enjoys belly rubs! Cleo recently had a dental cleaning and four teeth extracted, as well as a full blood panel and FeLV/FIV test, which was negative. She is up to date on rabies and FVRCP vaccines (proof provided along with medical records back to 2017). 

Nala is the rounder one with the skinny tail. Nala was more aloof at first and swatted when she was uncomfortable. However, she warmed up to me fairly quickly and is now with me almost constantly. I am taking Nala in for a dental cleaning and full blood panel this month (no extractions expected). She has been tested for FeLV/FIV and was negative. Up to date on rabies and FVRCP vaccines (proof provided along with medical records back to 2017).

They are slowly integrating with my three resident cats so I feel a home with other kitties would be fine, as long as they can be separated for introduction, and the other cats are not aggressive. They should NOT live with dogs due to past bad experiences. Due to their multiple poor living situations in the past, I strongly recommend they go to a home that is adults only, or has older/teen children. 

They will come with starter supplies: dry food and wet food (Purina Beyond Grain Free), two open litter boxes, pine litter, a litter scooping/cleanup kit, two bowls, a small Drinkwell Pet fountain, a selection of toys and beds, one soft sided carrier for each, brushes, nail clippers, and a large 72"" cat tree (if desired). 

**I am asking a rehoming fee of $125 USD for the pair**. I will not split them up as they are littermates and have been together their whole lives. I have a background in cat rescue and adoption and do request that an application be filled out for them, which you can find here: https://docs.google.com/forms/d/e/1FAIpQLSfmnnftU1eAhvdNx12oVFqgyiYFyuMR4VeXXcBuTaIbP720cQ/viewform?usp=sf_link

If approved, you will be invited to come meet them (though they do get nervous when guests come, so they may not ""show"" well). These girls are very sweet and just need a stable home that will love them and keep them safe and cared for for the rest of their lives.    "
36,Cat Scratching Post, (Pitt Meadows),Feb 19,https://vancouver.craigslist.org/pml/pet/d/pitt-meadows-cat-scratching-post/6823341734.html,"

QR Code Link to This Post


Cat scratching post with Sissal Rope. Good Condition, tons of life left, I have replaced the sissal rope on one of the posts, but the others have either never been used or minor wear. 
This cost me over 200$ at Pet Mart in Coquitlam, I moved and just dont have the space for it. 
Asking 80$ or reasonable offer.    "
37,🌸 CAT CARRYING ‘PURSE’ 🌸 $20, (Coquitlam),Feb 19,https://vancouver.craigslist.org/pml/pet/d/coquitlam-cat-carrying-purse-20/6823067779.html,"

QR Code Link to This Post


🐈 SUCH A CUTE WAY TO CARRY YOUR KITTY

👜PRETTY CARRIER LOOKS LIKE A PURSE

🐯ONLY FOR SMALL KITTIES OR TINY DOGS

Embroidered detail, mesh on the ends, vinyl handles, cushy padded interior. Snap and velcro closure    "
38,Cat and Dog Carriers, (maple ridge),Feb 17,https://vancouver.craigslist.org/pml/pet/d/maple-ridge-cat-and-dog-carriers/6801713848.html,"

QR Code Link to This Post


Two cats carriers $25.00 each    Good Condition

Dog Kennel for a 20 lb dog    $45.00    Very Good Condition
"
39,Looking for free kitten,N/A,Feb 16,https://vancouver.craigslist.org/bnc/pet/d/burnaby-looking-for-free-kitten/6821013495.html,"

QR Code Link to This Post


Message me if you have any for cheap or free kittens, I want a fur baby.    "
40,ISO 8 week old kitten, (Maple ridge),Feb 16,https://vancouver.craigslist.org/pml/pet/d/maple-ridge-iso-8-week-old-kitten/6820915480.html,"

QR Code Link to This Post


IN SEARCH OF 8 week old kitten. Free or small rehoming fee ok    "
41,Looking for kitten,N/A,Feb 15,https://vancouver.craigslist.org/rds/pet/d/surrey-looking-for-kitten/6799101486.html,"

QR Code Link to This Post


Looking for a free kitten to a good home. 
We have kids age 6 ~ 11
We would like to have a furry pet. 
Thanks 

"
42,LOST ORANGE/CREME COLORED CAT,N/A,Feb 15,https://vancouver.craigslist.org/van/pet/d/vancouver-lost-orange-creme-colored-cat/6803321126.html,"

QR Code Link to This Post


Our beloved family cat is missing! 

Teetu was last seen, December 29th, early afternoon, when we let him have his outside time. Hes an average sized male cat. Fluffy light orange/cream tabby mix. Had no collar on. Is not tatooed or microchiped. He is both indoor/outdoor. Teetu is greatly missed by our family. If hes still out there or someone has him, please return him.

*Reward Offered*

Call/Text Anytime!

Thank you    "
43,Natural Flea Repellent for Cats, (Langley),Feb 14,https://vancouver.craigslist.org/rds/pet/d/langley-natural-flea-repellent-for-cats/6819709198.html,"

QR Code Link to This Post


Only Natural Pet Herbal squeeze on flea repellent. 4 full boxes, 3 tubes each and one box with 2 tubes. Paid over $150.00, selling all of it for $65.00.
Exp. 10/2020

If ad is on here, item is still available.
We are in Langley.    "
44,Cats and Dogs Shelter, (SURREY),Feb 13,https://vancouver.craigslist.org/rds/pet/d/surrey-cats-and-dogs-shelter/6798430947.html,"

QR Code Link to This Post


The SARA (Save Animals thru Rescue and Adoption) Society is accepting cats and dogs for rehoming or to provide permanent or long term residence.
The Shelter is primarily a hospice for senior cats but also accepts dogs.  All live together in a beautiful home with a secure back yard for summertime naps in the sun. In order to help us continue with our mission, a donation is anticipated when surrendering to the Society.
Visit our website sarasociety.com and ""like"" our face book page to view some of our guests.
Email address:  show contact info
.    "
45,Free Cat Sitting in Kits!, (Kitsilano),Feb 13,https://vancouver.craigslist.org/van/pet/d/vancouver-free-cat-sitting-in-kits/6818756584.html,"

QR Code Link to This Post


Hi There,

We love cats and miss our cat back home terribly! We moved over from Ireland and dont have any pets here are the moment.

We are available to mind your cat for free on weekends or evenings. We live in the Kitsilano area, very close to Kitsilano beach.

If you have any questions please dont hesitate to let me know via email! 

Thanks,
Eva    "
46,Black cat found, (Cariboo Hill area Burnaby),Feb 13,https://vancouver.craigslist.org/bnc/pet/d/burnaby-black-cat-found/6818623868.html,"

QR Code Link to This Post


Black cat found on Feb 12/19. Came into house during snow storm. Will keep at home for few days. Very friendly.    "
47,*** Dog or Cat sitting - your price! ***, (Langley),Feb 11,https://vancouver.craigslist.org/rds/pet/d/langley-dog-or-cat-sitting-your-price/6803349067.html,"

QR Code Link to This Post


Hello there,
I'm offering flexible pet sitting services for Langley and the surrounding area in my home.

- Flexible One day / weekend / vacation
- Your pet will be fed, and given lots of affection.
- Dogs will get daily walks at the park.

I'm doing this because I like animals so you can name a price you feel is fair.  You may also visit my home and meet me prior.  I'm located by the Campbell Valley Regional Park.  Feel free to email me if you have any questions!
Thanks for reading!    "
48,ISO BARN CATS,N/A,Feb 11,https://vancouver.craigslist.org/pml/pet/d/coquitlam-iso-barn-cats/6817220775.html,"

QR Code Link to This Post


Looking for 2-3 barn cats asap :-)    "
49,Cat to rehome, (Squamish- langley),Feb 10,https://vancouver.craigslist.org/van/pet/d/squamish-cat-to-rehome/6816530810.html,"

QR Code Link to This Post


Kilo is a 10 year old fixed cat, in good health. Super cuddly. Indoor or outdoor. Loves to sit on your shoulders. Does amazing with all animals. He's also a good mouser.
"
50,CAT MISSING, (Queensborough),Feb 10,https://vancouver.craigslist.org/bnc/pet/d/new-westminster-cat-missing/6816437062.html,"

QR Code Link to This Post


Young Male Tabby,
Skittish to people he doesn't know

Last seen on Ewen Ave and McGillivray Pl in Queensborough New Westminster 

Please email me if seen or if you have him

Thanks    "
51,MISSING TUXEDO CAT, (VANCOUVER),Feb  9,https://vancouver.craigslist.org/van/pet/d/vancouver-missing-tuxedo-cat/6815334078.html,"

QR Code Link to This Post


TUX is missing! 
Our little guy didn't return home last night. He is an outdoor/indoor cat and very friendly. 

- Tuxedo Cat black with white marking under his chest. His paws are white as well. 
- He comes when he hears his food bag
- He has a black collar with a bell although it may have come off
- He is micro-chipped

He was last seen around West 1st Ave and Collingwood at 7pm on Feb 8th. 

Please let us know if you have seen him! 
show contact info

show contact info

"
52,$50 Small puppy kitten dog cat pet carrier travel cage kennel bag, (Kitsilano),Feb  8,https://vancouver.craigslist.org/van/pet/d/vancouver-50-small-puppy-kitten-dog-cat/6791697332.html,"

QR Code Link to This Post


Small pet carrier for pets under 4lbs

Pet Flys Monkey carrier like new condition, paid over $100 USD plus shipping costs about 3 years ago and has been used maybe 10 times at the most. I am asking $50.

I do not give out my number I only communicate via e-mail due to past experiences on Craigslist. 
Located at Burrard and 8th Ave.
"
53,Looking for kittens for companionship, (Tricities),Feb  7,https://vancouver.craigslist.org/pml/pet/d/maple-ridge-looking-for-kittens-for/6814297757.html,"

QR Code Link to This Post


Looking for kittens for for the elderly working for seniors they are looking for companionship if you have some beautiful sweet kittens for adoption please don't hesitate to email me thank you. 
  Please free to call  show contact info
 or show contact info
  . All shots included with adoption..    "
54,Offering Cat Boarding/Pet Sitting, (South Surrey),Feb  6,https://vancouver.craigslist.org/rds/pet/d/surrey-offering-cat-boarding-pet-sitting/6813204966.html,"

QR Code Link to This Post


Offering drop in cat sitting in your home or boarding in my home in South Surrey and White Rock

I have cared for cats on and off for friends and family over the years and recently had great experiences offering boarding in my home. I have volunteered as a foster family for a cat and kitten rescue for the last 3 years and have found it to be very rewarding. To date, I have had over 100 fosters cats and kittens in my home!

I love animals and I'm comfortable with ALL types of cats including pregnant mamas, newborn kittens, shy or semi-feral, geriatric and everything in-between.

I'm comfortable giving oral medication as instructed and all kinds of food and litter requirements.

If you'd like drop-in sitting, of course I'd also be happy to water plants, bring in papers and mail and any other house sitting tasks you may need.

Half hour visits include feeding, brushing, playing with toys, trimming nails (if possible--I'm quite good at this!), and lots of cuddles!

1 visit per day-$25
2 visits per day-$40

I also have a secure, spacious room in my home where I could possibly board your cat or cats. Availability is dependent on whether I currently have fosters. This way your kitty would get a LOT more attention and care. Cost is 20/day for 1 cat, $25/day for 2 cats, $30/day for 3. I can only take 1 cat family at a time, so book ahead!

I'd be happy to provide cat and character references. I am a responsible adult (mother to 3 children) with reliable transportation.

Hope to hear from you!    "
55,Cat sitter available, (downtown),Feb  5,https://vancouver.craigslist.org/van/pet/d/vancouver-cat-sitter-available/6792343165.html,"

QR Code Link to This Post


I am an experienced cat and dog sitter.  Pet hotels can be stressful so why not take that stress away and board your furry loved ones in my loving and caring home.

I love animals and have been pet sitting for over 4 years and have had many happy repeat guests.

I provide good rates and love what I do.    "
56,Madagascar Style Cat Tree ***SOLD*** $100, (Burnaby),Feb  5,https://vancouver.craigslist.org/bnc/pet/d/burnaby-madagascar-style-cat-tree-sold/6808852747.html,"

QR Code Link to This Post


Set your feline furball free to frolick and have fun on this spectacular Madagascar style cat tree. They'll love it. Playing and purring like a wild panther. I promise.  Kindly asking $100.

***SOLD***Thank you Lexia



Tags:  scrath post pet supplies, accesories furniture    "
57,Missing  Tabby Cat Male, (Maple Ridge East Area.),Feb  4,https://vancouver.craigslist.org/pml/pet/d/maple-ridge-missing-tabby-cat-male/6811595685.html,"

QR Code Link to This Post


I been looking for Male Tabby Cat been missing out of Maple ridge east  area Ive been looking for him quite some time. he has brother missing him dearly. Please help me get him back I do have Nice picture of him. 
 He quite young.  Please help me get him back into my hands.  His Name is Buddy.  I can can verif he is mine. 
 i have the information on him.   Just need him back. thank you Karen.    "
58,Russian blue kitten wanted,N/A,Feb  3,https://vancouver.craigslist.org/rds/pet/d/surrey-russian-blue-kitten-wanted/6811043078.html,"

QR Code Link to This Post


Looking to welcome a new member into the family. 

We've done some research and a kitten in the Russian Blue breed would be ideal for our requirements.

We like the temperament, the look and its hyper allergenic nature. 

Please contact me if one is available so we can discuss adoption fees.

Andy
Please text to number given
"
59,Missing BIG ORANGE CAT Reward !!!, (newton),Feb  3,https://vancouver.craigslist.org/rds/pet/d/surrey-missing-big-orange-cat-reward/6811028481.html,"

QR Code Link to This Post


Missing fluffy orange and white cat. Unwin park area, Newton.

please help us bring him home

show contact info
"
60,missing cat, (Vancouver),Feb  2,https://vancouver.craigslist.org/van/pet/d/vancouver-missing-cat/6803265944.html,"

QR Code Link to This Post


Missing grey tabby    "
61,Cat Bed Chaise Lounge," (Guildford, Surrey)",Jan 31,https://vancouver.craigslist.org/rds/pet/d/surrey-cat-bed-chaise-lounge/6785473787.html,"

QR Code Link to This Post


Comfortable classy chaise lounge for your cat or small dog.
Leopard print.
Solid... Excellent shape.
Measures 28""long, 14"" wide, 7"" high on bed ,12"" high on back.
$40 

Dave or Kathy  show contact info

"
62,Cat backpack BUYER BEWARE,N/A,Jan 31,https://vancouver.craigslist.org/rds/pet/d/surrey-cat-backpack-buyer-beware/6808775446.html,"

QR Code Link to This Post


I had arranged to buy a catback from this person and we agreed on a set price of $50 and then he changed the cost when I was getting ready to come pick it up. When I questioned him changing the price last minute from our agreed cost, he kept upping the cost and basically mocking me. DO NOT BUY FROM THIS PERSON. People like this you just can't trust. 
Here's the original post :
https://vancouver.craigslist.org/rds/for/d/surrey-pet-cat-backpack-carrier/ show contact info
.html

I'm including the last 4 digits of their phone number as well just in case they change the listing and you want to be sure that it's not them. It's 7460 

I would want someone to warn me about this guy if I were trying to buy off of him at this point as well, just getting the word out there. Happy shopping guys :)    "
63,Wanted kittens, (Delta),Jan 30,https://vancouver.craigslist.org/pml/pet/d/delta-wanted-kittens/6807685334.html,"

QR Code Link to This Post


Wanted two fur babies can pay around $50 each have two teenage daughters ♥️ That would spoil them. I will get back to you same day    "
64,Found Male Cat, (Surrey North),Jan 29,https://vancouver.craigslist.org/rds/pet/d/surrey-found-male-cat/6807072596.html,"

QR Code Link to This Post


Found gray male cat in North Surrey area.
He's all light gray and has a tatoo in his ear.    "
65,My cat  is missing please help, (108th ave and 152nd street),Jan 28,https://vancouver.craigslist.org/rds/pet/d/surrey-my-cat-is-missing-please-help/6787699574.html,"

QR Code Link to This Post


my baby girl is still missing 
no news of her either dead or alive but my gut says she's out there 
I believe someone has taken her in and is keeping her and this breaks my heart cause she is dearly missed 
if you have her give her back she's not yours and she comes from a loving home 
if you have seen her or know who has her please tell me I wont stop looking for til I find out what happened either way 
thank you    "
66,Siamese kitten wanted- breeders message me,N/A,Jan 27,https://vancouver.craigslist.org/van/pet/d/vancouver-siamese-kitten-wanted/6805485225.html,"

QR Code Link to This Post


Hey I'm looking to purchase a Siamese kitten 7-8 weeks 
I do not own a car I am unable to pick up I live in Yaletown I can pay extra if ur able to deliver :)  
If u have for sale please include ur asking price in ur message and availability if ur able to deliver the kitten thank you :)

"
